Data,Categoria,Descrição,Valor (R$)
2025-08-06,Lazer e compras,VIAGEM LOCAL,-598.66
2025-08-06,Lazer e compras,VIAGEM LOCAL,-598.62
2025-08-06,Lazer e compras,PIX TRANSF,-30
2025-08-07,Lazer e compras,EC *EBAZARCOMBRLTDA,-43.5
2025-08-07,Lazer e compras,SHOPEE *LOVELYPOINT,-68.75
2025-08-07,Moradia,PIX IMOBILIARIA,-2540.75
2025-08-08,Lazer e compras,PG *CASACORTILLA,-90.7
2025-08-08,Outros,SEGURO CARTAO,-8.11
2025-08-09,Alimentação,IFOOD CLUB,-5.95
2025-08-09,Alimentação,PIX TRANSF,-130
2025-08-09,Alimentação,TALHO CAFE,-18
2025-08-09,Lazer e compras,AMAZON BR,-67.09
2025-08-09,Lazer e compras,EC *EBAZARCOMBRLTDA,-43.45
2025-08-10,Alimentação,PAO DE ACUCAR,-12.97
2025-08-11,Alimentação,SUPERMERCADO LOCAL,-138.86
2025-08-11,Transporte,UBER*PENDING,-51.9
2025-08-12,Lazer e compras,EBN *CRUNCHYROLL,-14.99
2025-08-12,Transporte,UBER*TRIP,-38.24
2025-08-13,Moradia,PIX QRS AMILGAS,-250
2025-08-13,Transporte,UBER*PENDING,-16.98
2025-08-14,Lazer e compras,EC *SAMSUNG,-170.75
2025-08-15,Alimentação,IFD*SENDAS DISTRIBUIDO,-377.81
2025-08-16,Alimentação,IFD*DUCADU BRASA BURGER L,-34.48
2025-08-16,Lazer e compras,OUTLET ECOMMERCE CM,-56.71
2025-08-16,Transporte,UBER *PENDING,-12.81
2025-08-17,Alimentação,IFD*WAY DELIV,-34.1
2025-08-17,Alimentação,PAO DE ACUCAR,-12.42
2025-08-18,Alimentação,PANIF UNIAO LTDA,-16.88
2025-08-18,Lazer e compras,AMAZON BR,-65.43
2025-08-18,Lazer e compras,PIX QRS GROWTH SUPP,-217.26
2025-08-18,Saúde,PIX DROGARIA LOCAL,-78
2025-08-18,Transporte,UBER *PENDING,-20.26
2025-08-19,Lazer e compras,SHOPEE *BRINGITSP,-82.8
2025-08-19,Moradia,PIX QRS ITAU UNIBAN,-20.89
2025-08-19,Transporte,UBER*PENDING,-45.98
2025-08-20,Lazer e compras,SHOPEE *BRINGITSP,-82.81
2025-08-20,Transporte,UBER *PENDING,-39.96
2025-08-21,Alimentação,SUPERMERCADO LOCAL,-110.2
2025-08-21,Alimentação,Transferência enviada pelo Pix,-13
2025-08-21,Saúde,SUA ACADEMIA,-149.9
2025-08-21,Transporte,UBER *PENDING,-26.91
2025-08-22,Alimentação,Transferência enviada pelo Pix,-18
2025-08-22,Transporte,UBER *PENDING,-12.98
2025-08-23,Lazer e compras,DM*NINTENDOESHOP,-23.96
2025-08-23,Transporte,UBER*PENDING,-21.96
2025-08-24,Alimentação,ZIG *BREWTECO,-75
2025-08-24,Alimentação,SUPERMERCADO LOCAL,-57.11
2025-08-25,Alimentação,SUPERMERCADO LOCAL,-120.89
2025-08-25,Moradia,PIX QRS LIGHT SERVI,-81.37
2025-08-27,Alimentação,SUPERMERCADO LOCAL,-64.21
2025-08-27,Alimentação,SUPERMERCADO LOCAL,-28.36
2025-08-28,Receita,CREDITO SALARIO,8484.16
2025-08-28,Transporte,UBER *PENDING,-14.9
2025-08-29,Alimentação,PAO DE ACUCAR,-8.19
2025-08-29,Transporte,UBER*PENDING,-14.34
2025-08-31,Alimentação,IFD*DUCADU BRASA BURGE,-29.49
2025-08-31,Alimentação,RESTAURANTE LOCAL,-226.59
2025-08-31,Alimentação,RESTAURANTE LOCAL,-49.58
2025-08-31,Lazer e compras,NETFLIX.COM,-44.9
2025-08-31,Transporte,PIX QRS CBD BILHETE,-100
2025-08-31,Transporte,Transferência enviada pelo Pix,-10
2025-09-01,Alimentação,SUPERMERCADO LOCAL,-148.77
2025-09-01,Educação,EBN *CAMBLY,-69
2025-09-01,Lazer e compras,SHOPEE *GAMERHUT,-73.72
2025-09-02,Moradia,PIX IMOBILIARIA,-2495.4
2025-09-02,Transporte,PIX QRS CBD BILHETE,-100
2025-09-04,Lazer e compras,PIX QRS PAY2ALL INS,-59.99
2025-09-04,Transporte,UBER *PENDING,-12.97
2025-09-05,Alimentação,IFOOD CLUB,-5.95
2025-09-05,Alimentação,SUPERMERCADO LOCAL,-100.46
2025-09-05,Lazer e compras,AMAZON BR,-18.99
2025-09-05,Moradia,PIX QRS *CEG,-69.41
2025-09-05,Moradia,PIX QRS TELEFONICA,-150
2025-09-05,Transporte,UBER *PENDING,-13.92
2025-09-06,Alimentação,CHOPERIAKARAOKE,-69.19
2025-09-06,Alimentação,PAO DE ACUCAR,-14.07
2025-09-06,Lazer e compras,DM*NINTENDOESHOP,-59.99
2025-09-06,Saúde,DROGARIA PACHECO,-5.99
2025-09-07,Lazer e compras,PG *CASACORTILLA,-90.7
2025-09-07,Lazer e compras,SHOPEE *LOVELYPOINT,-68.75
2025-09-07,Outros,OPENAI *CHATGPT SUBSCR,-4.01
2025-09-07,Transporte,UBER *PENDING,-12.9
2025-09-07,Transporte,UBER*PENDING,-43.98
2025-09-08,Lazer e compras,EC *EBAZARCOMBRLTDA,-43.45
2025-09-09,Lazer e compras,AMAZON BR,-67.09
2025-09-09,Lazer e compras,MERCADOLIVRE*LOJAISOPRENE,-19.06
2025-09-09,Outros,SEGURO CARTAO,-8.11
2025-09-10,Lazer e compras,VIAGEM LOCAL,-598.62
2025-09-10,Moradia,PIX QRS LIGHT SERVI,-150.2
2025-09-10,Outros,OPENAI *CHATGPT SUBSCR,-114.51
2025-09-11,Transporte,UBER *PENDING,-17.95
2025-09-12,Alimentação,IFD*RESTAURANTE LOCAL,-41.15
2025-09-12,Alimentação,PANIF UNIAO LTDA,-7.49
2025-09-12,Alimentação,SUPERMERCADO LOCAL,-72.95
2025-09-12,Alimentação,SUPERMERCADO LOCAL,-26.56
2025-09-12,Lazer e compras,EC *SAMSUNG,-170.75
2025-09-13,Lazer e compras,EBN *CRUNCHYROLL,-14.99
2025-09-14,Lazer e compras,PIX QRS SHPP BRASIL,-14.99
2025-09-15,Transporte,UBER*PENDING,-16.96
2025-09-16,Saúde,PIX DROGARIA LOCAL,-7.5
2025-09-17,Alimentação,IFD*SENDAS DISTRIBUIDO,-332.91
2025-09-17,Alimentação,IFD*WAY DELIVERY,-32.1
2025-09-17,Lazer e compras,OUTLET ECOMMERCE CM,-56.71
2025-09-18,Alimentação,CPAGESTAODE,-262.16
2025-09-18,Transporte,UBER*PENDING,-16.99
2025-09-19,Alimentação,IFD*RESTAURANTE LOCAL,-41.15
2025-09-19,Alimentação,SUPERMERCADO LOCAL,-75.19
2025-09-19,Saúde,DROGARIAS CRISTAL,-22.9
2025-09-20,Lazer e compras,PIX QRS Pagar Me Pa,-117.16
2025-09-20,Transporte,UBER*PENDING,-40.97
2025-09-20,Transporte,UBER*PENDING,-26.95
2025-09-21,Alimentação,PADARIA PAES DOCE,-47.3
2025-09-21,Moradia,PAGAMENTO,-500
2025-09-21,Saúde,SUA ACADEMIA,-149.9
2025-09-21,Transporte,UBER *PENDING,-19.97
2025-09-21,Transporte,UBER *PENDING,-17.94
2025-09-21,Transporte,UBER*PENDING,-49.14
2025-09-21,Transporte,UBER*PENDING,-29.68
2025-09-22,Transporte,UBER*PENDING,-63.5
2025-09-22,Transporte,UBER*PENDING,-18.95
2025-09-22,Transporte,UBER*PENDING,-11.9
2025-09-23,Alimentação,SUPERMERCADO LOCAL,-55.82
2025-09-24,Alimentação,IFD*COZENDEI CARNEVALE CO,-30.17
2025-09-25,Alimentação,RESTAURANTE E CONFEITAR,-330.4
2025-09-25,Alimentação,SUPERMERCADO LOCAL,-22.98
2025-09-26,Alimentação,PAO DE ACUCAR,-10.35
2025-09-27,Saúde,DROGARIAS CRISTAL,-48.78
2025-09-28,Receita,CREDITO SALARIO,8356.73
2025-09-29,Alimentação,PAO DE ACUCAR,-7.8
2025-09-29,Lazer e compras,NETFLIX.COM,-44.9
2025-09-29,Transporte,"ALLPARK EMPREENDIMENTOS,",-57
2025-09-30,Saúde,DROGARIAS CRISTAL,-45.9
2025-10-01,Educação,EBN *CAMBLY,-69
2025-10-02,Alimentação,RODIZIO SUSHI,-165
2025-10-02,Alimentação,SUPERMERCADO LOCAL,-32.63
2025-10-03,Alimentação,PANIF UNIAO LTDA,-12.21
2025-10-03,Alimentação,SUPERMERCADO LOCAL,-69.23
2025-10-03,Lazer e compras,SHOPEE *GAMERHUT,-73.72
2025-10-04,Alimentação,CHEIRIN BAO,-16
2025-10-04,Moradia,PIX IMOBILIARIA,-2325.6
2025-10-04,Transporte,PIX QRS CBD BILHETE,-135
2025-10-04,Transporte,UBER*PENDING,-22.92
2025-10-05,Alimentação,IFOOD CLUB,-5.95
2025-10-05,Transporte,UBER*PENDING,-26.98
2025-10-06,Lazer e compras,VIAGEM LOCAL,-598.62
2025-10-06,Lazer e compras,DANNIELBOONETRAVA,-35
2025-10-07,Alimentação,SUPERMERCADO LOCAL,-30.96
2025-10-07,Transporte,UBER*PENDING,-25.93
2025-10-08,Lazer e compras,PG *CASACORTILLA,-90.7
2025-10-08,Moradia,PIX QRS *CEG,-69.2
2025-10-08,Transporte,UBER*PENDING,-12.94
2025-10-09,Alimentação,PANIF UNIAO LTDA,-21.5
2025-10-09,Alimentação,PAO DE ACUCAR,-14.63
2025-10-09,Moradia,PIX QRS TELEFONICA,-150
2025-10-09,Outros,OPENAI *CHATGPT SUBSCR,-3.96
2025-10-09,Outros,SEGURO CARTAO,-8.11
2025-10-10,Lazer e compras,EC *EBAZARCOMBRLTDA,-43.45
2025-10-10,Outros,OPENAI *CHATGPT SUBSCR,-113.25
2025-10-11,Alimentação,DOMENICA DELIVERY,-198.24
2025-10-11,Lazer e compras,AMAZON BR,-70.81
2025-10-11,Moradia,PIX QRS LIGHT SERVI,-135.31
2025-10-12,Saúde,DROGARIAS CRISTAL,-22.9
2025-10-13,Alimentação,IFD*SENDAS DISTRIBUIDO,-411.93
2025-10-13,Lazer e compras,CENTRO CULTURAL,-10
2025-10-13,Lazer e compras,EBN *CRUNCHYROLL,-14.99
2025-10-13,Lazer e compras,EC *SAMSUNG,-170.75
2025-10-14,Alimentação,IFD*RESTAURANTE LOCAL,-41.15
2025-10-14,Alimentação,SUPERMERCADO LOCAL,-93.36
2025-10-15,Alimentação,IFD*RESTAURANTE LOCAL,-41.15
2025-10-15,Alimentação,VIZINHA 123,-60
2025-10-16,Alimentação,SUPERMERCADO LOCAL,-33.71
2025-10-16,Moradia,PAGAMENTO,-500
2025-10-17,Alimentação,SUPERMERCADO LOCAL,-74.79
2025-10-17,Lazer e compras,MERCADOLIVRE*2PRODUTOS,-38.14
2025-10-17,Lazer e compras,OUTLET ECOMMERCE CM,-56.71
2025-10-18,Transporte,UBER*PENDING,-28.47
2025-10-19,Alimentação,BAR LOCAL,-120.1
2025-10-19,Transporte,UBER *PENDING,-24.96
2025-10-20,Alimentação,SUPERMERCADO LOCAL,-70.62
2025-10-20,Alimentação,SUPERMERCADO LOCAL,-56.33
2025-10-20,Lazer e compras,MERCADOLIVRE*GHGAMES,-269.69
2025-10-20,Lazer e compras,MERCADOLIVRE*MAGIAARMARIN,-24.24
2025-10-20,Saúde,SUA ACADEMIA,-149.9
2025-10-21,Transporte,PIX QRS CBD BILHETE,-100
2025-10-22,Outros,PIX TRANSF,-125
2025-10-24,Alimentação,IFD*RESTAURANTE LOCAL,-41.15
2025-10-24,Saúde,DROGARIA CRISTAL,-9
2025-10-27,Alimentação,PAO DE ACUCAR,-9.99
2025-10-27,Alimentação,SUPERMERCADO LOCAL,-57.61
2025-10-28,Alimentação,PANIF UNIAO LTDA,-13.7
2025-10-29,Alimentação,IFD*BAR E RESTAURANTE VER,-48.99
2025-10-29,Alimentação,PAO DE ACUCAR,-10.76
2025-10-29,Saúde,DROGARIAS CRISTAL,-9.99
2025-10-30,Alimentação,IFD*RESTAURANTE LOCAL,-25.64
2025-10-30,Receita,CREDITO SALARIO,8431.42
2025-10-31,Alimentação,SUPERMERCADO LOCAL,-133.57
2025-10-31,Lazer e compras,NETFLIX.COM,-44.9
2025-11-01,Alimentação,SUPERMERCADO LOCAL,-60.67
2025-11-01,Transporte,UBER*PENDING,-11.99
2025-11-01,Transporte,UBER*PENDING,-11.91
2025-11-02,Alimentação,ZIG*BREWTECO,-232.96
2025-11-03,Alimentação,PANIF UNIAO LTDA,-22.18
2025-11-03,Alimentação,PAO DE ACUCAR,-17.18
2025-11-03,Alimentação,SUPERMERCADO LOCAL,-82.7
2025-11-03,Lazer e compras,PIX QRS GRUPO CASAS,-72.9
2025-11-03,Transporte,EC *BUSER,-412.8
2025-11-04,Lazer e compras,PIX QRS SBF COMERCI,-157.37
2025-11-06,Alimentação,IFD*RESTAURANTE LOCAL,-41.15
2025-11-06,Lazer e compras,PG *CASACORTILLA,-90.7
2025-11-06,Lazer e compras,PIX QRS LOJAS RIACH,-182.09
2025-11-06,Moradia,PIX IMOBILIARIA,-2550.25
2025-11-07,Transporte,UBER *PENDING,-13.97
2025-11-08,Alimentação,IFD*FV BURGER LTDA,-29.73
2025-11-08,Alimentação,IFOOD CLUB,-5.95
2025-11-08,Lazer e compras,MERCADOLIVRE*MERCADOLIVRE,-19.37
2025-11-08,Lazer e compras,PIX QRS PIX Marketp,-180.95
2025-11-08,Outros,OPENAI *CHATGPT SUBSCR,-3.97
2025-11-08,Transporte,UBER*TRIP,-13.99
2025-11-09,Lazer e compras,AMAZON BR,-63.67
2025-11-09,Lazer e compras,AMAZON BR,-48
2025-11-09,Lazer e compras,EBN*CRUNCHYROLL,-14.99
2025-11-10,Alimentação,PANIF UNIAO LTDA,-11.88
2025-11-10,Alimentação,SUPERMERCADO LOCAL,-38.72
2025-11-10,Lazer e compras,AMAZON BR,-22.5
2025-11-10,Outros,OPENAI *CHATGPT SUBSCR,-113.3
2025-11-10,Outros,SEGURO CARTAO,-8.11
2025-11-11,Moradia,PIX QRS *CEG,-69.2
2025-11-11,Transporte,UBER *PENDING,-13.98
2025-11-12,Alimentação,IFD*RESTAURANTE LOCAL,-41.15
2025-11-12,Lazer e compras,PIX TRANSF,-50
2025-11-12,Moradia,PIX QRS LIGHT SERVI,-179.03
2025-11-13,Alimentação,BRASEIRO,-21
2025-11-13,Lazer e compras,PIX QRS AIBR INSTIT,-169.92
2025-11-13,Transporte,UBER *PENDING,-16.91
2025-11-14,Alimentação,SUPERMERCADO LOCAL,-155.85
2025-11-15,Alimentação,SUPERMERCADO LOCAL,-52.24
2025-11-15,Alimentação,ZIG *BREWTECO,-53.76
2025-11-15,Lazer e compras,EC *SAMSUNG,-170.75
2025-11-15,Lazer e compras,PIX QRS PAGSEGURO I,-88.99
2025-11-15,Moradia,PIX QRS TELEFONICA,-150
2025-11-16,Alimentação,BRASEIRO,-11
2025-11-16,Alimentação,SUPERMERCADO LOCAL,-6.62
2025-11-16,Transporte,UBER*TRIP,-23.95
2025-11-17,Transporte,UBER*PENDING,-13.97
2025-11-18,Alimentação,CARREFOUR,-34.41
2025-11-18,Alimentação,GLAZED BRASIL,-74.9
2025-11-18,Alimentação,RESTAURANTE LOCAL,-34.56
2025-11-18,Saúde,SUA ACADEMIA,-149.9
2025-11-18,Transporte,UBER *PENDING,-12.93
2025-11-19,Alimentação,OFNER,-35.7
2025-11-19,Alimentação,REYEL RESTAURANTE,-39.9
2025-11-19,Transporte,UBER *PENDING,-28.99
2025-11-20,Alimentação,CARREFOUR,-7.97
2025-11-20,Alimentação,OFNER,-139.81
2025-11-20,Educação,EBN *CAMBLY,-69
2025-11-20,Transporte,UBER*PENDING,-26.56
2025-11-21,Alimentação,CARREFOUR,-83.26
2025-11-21,Alimentação,SUPERMERCADO LOCAL,-27.8
2025-11-21,Saúde,DROGARIAS CRISTAL,-47.96
2025-11-21,Transporte,UBER *PENDING,-16.93
2025-11-22,Alimentação,IFD*TEREZINHA VANIRIA,-58.69
2025-11-22,Alimentação,PIX TRANSF,-150
2025-11-24,Alimentação,CARREFOUR,-95.5
2025-11-25,Lazer e compras,MERCADOLIVRE*MERCADOLI,-26.58
2025-11-26,Alimentação,IFD*RESTAURANTE JESUIN,-80.89
2025-11-27,Alimentação,HANS KOREA FOOD,-95
2025-11-27,Lazer e compras,MERCADOLIVRE*2PRODUTOS,-86.6
2025-11-27,Lazer e compras,MERCADOLIVRE*2PRODUTOS,-20.31
2025-11-27,Transporte,UBER *PENDING,-49.91
2025-11-28,Alimentação,CARREFOUR,-47.36
2025-11-28,Alimentação,MP*POSTOTOPCHOPP,-30
2025-11-28,Transporte,UBER *PENDING,-14.97
2025-11-29,Lazer e compras,MERCADOLIVRE*2PRODUTOS,-59.09
2025-11-29,Lazer e compras,MERCADOLIVRE*LEITURABOULE,-85.5
2025-11-29,Receita,CREDITO SALARIO,8393.57
2025-11-30,Alimentação,CARREFOUR,-28.98
2025-11-30,Alimentação,REI DO MATE,-28
2025-12-01,Lazer e compras,DAFITI,-57.16
2025-12-02,Alimentação,PANIF UNIAO LTDA,-20.55
2025-12-02,Alimentação,SUPERMERCADO LOCAL,-54.64
2025-12-02,Alimentação,ZIG*BREWTECO,-214.77
2025-12-02,Lazer e compras,PIX QRS SBF COMERCI,-138.29
2025-12-02,Transporte,EC *BUSER,-402.45
2025-12-02,Transporte,UBER*PENDING,-12.12
2025-12-03,Moradia,PIX TRANSF DESENTU,-350
2025-12-03,Transporte,UBER*PENDING,-12.6
2025-12-04,Alimentação,PAO DE ACUCAR,-16.26
2025-12-04,Lazer e compras,PIX QRS GRUPO CASAS,-75.08
2025-12-05,Lazer e compras,PIX QRS LOJAS RIACH,-197.79
2025-12-06,Alimentação,SUPERMERCADO LOCAL,-78.15
2025-12-06,Moradia,PIX IMOBILIARIA,-2395.85
2025-12-06,Transporte,UBER *PENDING,-13.91
2025-12-07,Alimentação,IFD*FV BURGER LTDA,-31.34
2025-12-07,Alimentação,IFD*RESTAURANTE LOCAL,-36.48
2025-12-07,Alimentação,IFOOD CLUB,-5.43
2025-12-07,Lazer e compras,MERCADOLIVRE*MERCADOLIVRE,-17.76
2025-12-07,Lazer e compras,PG *CASACORTILLA,-93.92
2025-12-07,Lazer e compras,PIX QRS,-30
2025-12-07,Lazer e compras,PIX QRS PIX Marketp,-198.63
2025-12-08,Alimentação,PANIF UNIAO LTDA,-13.06
2025-12-08,Lazer e compras,AMAZON BR,-56.63
2025-12-08,Transporte,UBER*TRIP,-15.06
2025-12-09,Lazer e compras,AMAZON BR,-44.44
2025-12-09,Moradia,PIX QRS *CEG,-69.16
2025-12-09,Moradia,PIX QRS LIGHT SERVI,-107.85
2025-12-09,Moradia,PIX QRS TELEFONICA,-153.15
2025-12-09,Outros,SEGURO CARTAO,-8.11
2025-12-10,Alimentação,SUPERMERCADO LOCAL,-39.22
2025-12-10,Lazer e compras,PIX TRANSF,-45.75
2025-12-11,Alimentação,IFD*RESTAURANTE LOCAL,-36.49
2025-12-11,Lazer e compras,AMAZON BR,-24.8
2025-12-12,Lazer e compras,EC *SAMSUNG,-168.72
2025-12-12,Lazer e compras,PIX QRS AIBR INSTIT,-175.12
2025-12-12,Transporte,UBER *PENDING,-12.55
2025-12-13,Alimentação,SUPERMERCADO LOCAL,-46.56
2025-12-14,Alimentação,ZIG *BREWTECO,-50.14
2025-12-14,Lazer e compras,PIX QRS PAGSEGURO I,-81.11
2025-12-14,Transporte,UBER*TRIP,-21.13
2025-12-15,Alimentação,SUPERMERCADO LOCAL,-152.3
2025-12-15,Alimentação,SUPERMERCADO LOCAL,-6.73
2025-12-16,Alimentação,BRASEIRO,-11.16
2025-12-16,Alimentação,PIX TRANSF,-35
2025-12-16,Transporte,UBER *PENDING,-15.74
2025-12-17,Transporte,UBER *PENDING,-55.71
2025-12-18,Alimentação,SUPERMERCADO LOCAL,-27.47
2025-12-19,Alimentação,PAS E FLORES PAES DOCE,-34.05
2025-12-19,Saúde,PIX DROGARIA LOCAL,-50.81
2025-12-19,Transporte,UBER *PENDING,-11.87
2025-12-19,Transporte,UBER*PENDING,-13.92
2025-12-20,Alimentação,GLAZED BRASIL,-73.95
2025-12-20,Alimentação,OFNER,-37.17
2025-12-20,Alimentação,REYEL RESTAURANTE,-43.03
2025-12-20,Transporte,UBER*PENDING,-24.63
2025-12-21,Alimentação,CARREFOUR,-33.92
2025-12-21,Alimentação,IFD*TEREZINHA VANIRIA,-53.93
2025-12-21,Alimentação,OFNER,-139.2
2025-12-21,Educação,EBN *CAMBLY,-65.06
2025-12-21,Transporte,UBER *PENDING,-27.5
2025-12-21,Transporte,UBER *PENDING,-16.88
2025-12-22,Alimentação,CARREFOUR,-100.93
2025-12-22,Alimentação,CARREFOUR,-75.74
2025-12-23,Alimentação,CARREFOUR,-7.52
2025-12-23,Alimentação,PIX TRANSF,-140.06
2025-12-26,Lazer e compras,MERCADOLIVRE*LEITURABOULE,-76.2
2025-12-27,Alimentação,CARREFOUR,-43.58
2025-12-27,Alimentação,IFD*RESTAURANTE JESUIN,-82.71
2025-12-27,Lazer e compras,MERCADOLIVRE*2PRODUTOS,-85.31
2025-12-27,Lazer e compras,MERCADOLIVRE*2PRODUTOS,-53.6
2025-12-27,Lazer e compras,MERCADOLIVRE*2PRODUTOS,-20.41
2025-12-28,Alimentação,MP*POSTOTOPCHOPP,-29.64
2025-12-28,Lazer e compras,MERCADOLIVRE*MERCADOLI,-26.65
2025-12-28,Receita,CREDITO SALARIO,8338.64
2025-12-28,Transporte,UBER *PENDING,-47.12
2025-12-28,Transporte,UBER *PENDING,-14.62
2025-12-29,Alimentação,HANS KOREA FOOD,-82.89
2025-12-29,Alimentação,REI DO MATE,-25.32
2025-12-30,Alimentação,CARREFOUR,-31.43
